,Ticker,Company
0,MMM,3M
1,AOS,A. O. Smith
2,ABT,Abbott
3,ABBV,AbbVie
4,ACN,Accenture
5,ATVI,Activision Blizzard
6,ADM,ADM
7,ADBE,Adobe Inc.
8,ADP,ADP
9,AAP,Advance Auto Parts
10,AES,AES Corporation
11,AFL,Aflac
12,A,Agilent Technologies
13,APD,Air Products and Chemicals
14,AKAM,Akamai
15,ALK,Alaska Air Group
16,ALB,Albemarle Corporation
17,ARE,Alexandria Real Estate Equities
18,ALGN,Align Technology
19,ALLE,Allegion
20,LNT,Alliant Energy
21,ALL,Allstate
22,GOOGL,Alphabet Inc. (Class A)
23,GOOG,Alphabet Inc. (Class C)
24,MO,Altria
25,AMZN,Amazon
26,AMCR,Amcor
27,AMD,AMD
28,AEE,Ameren
29,AAL,American Airlines Group
30,AEP,American Electric Power
31,AXP,American Express
32,AIG,American International Group
33,AMT,American Tower
34,AWK,American Water Works
35,AMP,Ameriprise Financial
36,ABC,AmerisourceBergen
37,AME,Ametek
38,AMGN,Amgen
39,APH,Amphenol
40,ADI,Analog Devices
41,ANSS,Ansys
42,AON,Aon
43,APA,APA Corporation
44,AAPL,Apple Inc.
45,AMAT,Applied Materials
46,APTV,Aptiv
47,ACGL,Arch Capital Group
48,ANET,Arista Networks
49,AJG,Arthur J. Gallagher & Co.
50,AIZ,Assurant
51,T,AT&T
52,ATO,Atmos Energy
53,ADSK,Autodesk
54,AZO,AutoZone
55,AVB,AvalonBay Communities
56,AVY,Avery Dennison
57,AXON,Axon Enterprise
58,BKR,Baker Hughes
59,BALL,Ball Corporation
60,BAC,Bank of America
61,BBWI,"Bath & Body Works, Inc."
62,BAX,Baxter International
63,BDX,Becton Dickinson
64,WRB,Berkley
65,BRK.B,Berkshire Hathaway
66,BBY,Best Buy
67,BIO,Bio-Rad
68,TECH,Bio-Techne
69,BIIB,Biogen
70,BLK,BlackRock
71,BK,BNY Mellon
72,BA,Boeing
73,BKNG,Booking Holdings
74,BWA,BorgWarner
75,BXP,Boston Properties
76,BSX,Boston Scientific
77,BMY,Bristol Myers Squibb
78,AVGO,Broadcom Inc.
79,BR,Broadridge Financial Solutions
80,BRO,Brown & Brown
81,BF.B,Brown–Forman
82,BG,Bunge Limited
83,CHRW,C.H. Robinson
84,CDNS,Cadence Design Systems
85,CZR,Caesars Entertainment
86,CPT,Camden Property Trust
87,CPB,Campbell Soup Company
88,COF,Capital One
89,CAH,Cardinal Health
90,KMX,CarMax
91,CCL,Carnival
92,CARR,Carrier Global
93,CTLT,Catalent
94,CAT,Caterpillar Inc.
95,CBOE,Cboe Global Markets
96,CBRE,CBRE Group
97,CDW,CDW
98,CE,Celanese
99,CNC,Centene Corporation
100,CNP,CenterPoint Energy
101,CDAY,Ceridian
102,CF,CF Industries
103,CRL,Charles River Laboratories
104,SCHW,Charles Schwab Corporation
105,CHTR,Charter Communications
106,CVX,Chevron Corporation
107,CMG,Chipotle Mexican Grill
108,CB,Chubb Limited
109,CHD,Church & Dwight
110,CI,Cigna
111,CINF,Cincinnati Financial
112,CTAS,Cintas
113,CSCO,Cisco
114,C,Citigroup
115,CFG,Citizens Financial Group
116,CLX,Clorox
117,CME,CME Group
118,CMS,CMS Energy
119,KO,Coca-Cola Company (The)
120,CTSH,Cognizant
121,CL,Colgate-Palmolive
122,CMCSA,Comcast
123,CMA,Comerica
124,CAG,Conagra Brands
125,COP,ConocoPhillips
126,ED,Consolidated Edison
127,STZ,Constellation Brands
128,CEG,Constellation Energy
129,COO,CooperCompanies
130,CPRT,Copart
131,GLW,Corning Inc.
132,CTVA,Corteva
133,CSGP,CoStar Group
134,COST,Costco
135,CTRA,Coterra
136,CCI,Crown Castle
137,CSX,CSX
138,CMI,Cummins
139,CVS,CVS Health
140,DHI,D.R. Horton
141,DHR,Danaher Corporation
142,DRI,Darden Restaurants
143,DVA,DaVita Inc.
144,DE,John Deere
145,DAL,Delta Air Lines
146,XRAY,Dentsply Sirona
147,DVN,Devon Energy
148,DXCM,Dexcom
149,FANG,Diamondback Energy
150,DLR,Digital Realty
151,DFS,Discover Financial
152,DISH,Dish Network
153,DIS,Disney
154,DG,Dollar General
155,DLTR,Dollar Tree
156,D,Dominion Energy
157,DPZ,Domino's
158,DOV,Dover Corporation
159,DOW,Dow Inc.
160,DTE,DTE Energy
161,DUK,Duke Energy
162,DD,DuPont
163,DXC,DXC Technology
164,EMN,Eastman Chemical Company
165,ETN,Eaton Corporation
166,EBAY,eBay
167,ECL,Ecolab
168,EIX,Edison International
169,EW,Edwards Lifesciences
170,EA,Electronic Arts
171,ELV,Elevance Health
172,LLY,Eli Lilly and Company
173,EMR,Emerson Electric
174,ENPH,Enphase
175,ETR,Entergy
176,EOG,EOG Resources
177,EPAM,EPAM Systems
178,EQT,EQT
179,EFX,Equifax
180,EQIX,Equinix
181,EQR,Equity Residential
182,ESS,Essex Property Trust
183,EL,Estée Lauder Companies (The)
184,ETSY,Etsy
185,RE,Everest Re
186,EVRG,Evergy
187,ES,Eversource
188,EXC,Exelon
189,EXPE,Expedia Group
190,EXPD,Expeditors International
191,EXR,Extra Space Storage
192,XOM,ExxonMobil
193,FFIV,"F5, Inc."
194,FDS,FactSet
195,FICO,Fair Isaac
196,FAST,Fastenal
197,FRT,Federal Realty
198,FDX,FedEx
199,FITB,Fifth Third Bank
200,FSLR,First Solar
201,FE,FirstEnergy
202,FIS,FIS
203,FISV,Fiserv
204,FLT,Fleetcor
205,FMC,FMC Corporation
206,F,Ford Motor Company
207,FTNT,Fortinet
208,FTV,Fortive
209,FOXA,Fox Corporation (Class A)
210,FOX,Fox Corporation (Class B)
211,BEN,Franklin Templeton
212,FCX,Freeport-McMoRan
213,GRMN,Garmin
214,IT,Gartner
215,GEHC,GE HealthCare
216,GEN,Gen Digital
217,GNRC,Generac
218,GD,General Dynamics
219,GE,General Electric
220,GIS,General Mills
221,GM,General Motors
222,GPC,Genuine Parts Company
223,GILD,Gilead Sciences
224,GL,Globe Life
225,GPN,Global Payments
226,GS,Goldman Sachs
227,HAL,Halliburton
228,HIG,Hartford (The)
229,HAS,Hasbro
230,HCA,HCA Healthcare
231,PEAK,Healthpeak
232,HSIC,Henry Schein
233,HSY,Hershey's
234,HES,Hess Corporation
235,HPE,Hewlett Packard Enterprise
236,HLT,Hilton Worldwide
237,HOLX,Hologic
238,HD,Home Depot (The)
239,HON,Honeywell
240,HRL,Hormel Foods
241,HST,Host Hotels & Resorts
242,HWM,Howmet Aerospace
243,HPQ,HP Inc.
244,HUM,Humana
245,HBAN,Huntington Bancshares
246,HII,Huntington Ingalls Industries
247,IBM,IBM
248,IEX,IDEX Corporation
249,IDXX,Idexx Laboratories
250,ITW,Illinois Tool Works
251,ILMN,Illumina
252,INCY,Incyte
253,IR,Ingersoll Rand
254,PODD,Insulet
255,INTC,Intel
256,ICE,Intercontinental Exchange
257,IFF,International Flavors & Fragrances
258,IP,International Paper
259,IPG,Interpublic Group of Companies (The)
260,INTU,Intuit
261,ISRG,Intuitive Surgical
262,IVZ,Invesco
263,INVH,Invitation Homes
264,IQV,IQVIA
265,IRM,Iron Mountain
266,JBHT,J.B. Hunt
267,JKHY,Jack Henry & Associates
268,J,Jacobs Solutions
269,JNJ,Johnson & Johnson
270,JCI,Johnson Controls
271,JPM,JPMorgan Chase
272,JNPR,Juniper Networks
273,K,Kellogg's
274,KDP,Keurig Dr Pepper
275,KEY,KeyCorp
276,KEYS,Keysight
277,KMB,Kimberly-Clark
278,KIM,Kimco Realty
279,KMI,Kinder Morgan
280,KLAC,KLA Corporation
281,KHC,Kraft Heinz
282,KR,Kroger
283,LHX,L3Harris
284,LH,LabCorp
285,LRCX,Lam Research
286,LW,Lamb Weston
